Site_ID,Year,Plot,Horizon,Watershed,PerCentN,PerCentC
1987-6-173-Oie,1987,173,Oie,6,2.28,41.36
1987-6-173-Oa,1987,173,Oa,6,1.80,32.79
1987-6-175-Oie,1987,175,Oie,6,2.46,47.33
1987-6-175-Oa,1987,175,Oa,6,1.98,42.93
1987-6-177-Oie,1987,177,Oie,6,1.82,33.55
1987-6-177-Oa,1987,177,Oa,6,0.91,15.40
1987-6-180-Oie,1987,180,Oie,6,2.19,43.01
1987-6-180-Oa,1987,180,Oa,6,1.39,29.74
1987-6-183-Oie,1987,183,Oie,6,2.23,36.12
1987-6-183-Oa,1987,183,Oa,6,1.73,28.28
1987-6-187-Oie,1987,187,Oie,6,2.13,43.62
1987-6-187-Oa,1987,187,Oa,6,1.01,16.98
1987-6-188-Oie,1987,188,Oie,6,2.44,46.66
1987-6-188-Oa,1987,188,Oa,6,2.22,42.40
1987-6-190-Oie,1987,190,Oie,6,1.96,35.54
1987-6-190-Oa,1987,190,Oa,6,0.87,13.48
1987-6-191-Oie,1987,191,Oie,6,1.19,21.69
1987-6-191-Oa,1987,191,Oa,6,0.62,7.75
1987-6-193-Oie,1987,193,Oie,6,1.27,24.05
1987-6-193-Oa,1987,193,Oa,6,-88.88,-88.88
1987-6-194-Oie,1987,194,Oie,6,2.23,45.24
1987-6-194-Oa,1987,194,Oa,6,2.00,37.68
1987-6-201-Oie,1987,201,Oie,6,1.82,45.20
1987-6-201-Oa,1987,201,Oa,6,0.86,17.44
1987-6-204-Oie,1987,204,Oie,6,0.65,12.33
1987-6-204-Oa,1987,204,Oa,6,1.98,41.10
1987-6-205-Oie,1987,205,Oie,6,2.31,45.19
1987-6-205-Oa,1987,205,Oa,6,0.92,22.90
1987-6-206-Oie,1987,206,Oie,6,1.70,36.80
1987-6-206-Oa,1987,206,Oa,6,1.68,36.24
1992-6-2-Oie,1992,2,Oie,6,2.19,47.30
1992-6-2-Oa,1992,2,Oa,6,1.29,32.55
1992-6-4-Oie,1992,4,Oie,6,2.45,47.55
1992-6-4-Oa,1992,4,Oa,6,2.32,37.19
1992-6-6-Oie,1992,6,Oie,6,2.01,43.92
1992-6-6-Oa,1992,6,Oa,6,0.85,18.90
1992-6-8-Oie,1992,8,Oie,6,2.14,42.06
1992-6-8-Oa,1992,8,Oa,6,0.67,12.91
1992-6-11-Oie,1992,11,Oie,6,2.04,45.56
1992-6-11-Oa,1992,11,Oa,6,1.16,28.00
1992-6-12-Oie,1992,12,Oie,6,2.48,40.58
1992-6-12-Oa,1992,12,Oa,6,1.47,23.35
1992-6-17-Oie,1992,17,Oie,6,1.54,34.08
1992-6-17-Oa,1992,17,Oa,6,1.14,23.93
1992-6-20-Oie,1992,20,Oie,6,2.32,47.53
1992-6-20-Oa,1992,20,Oa,6,1.91,35.09
1992-6-21-Oie,1992,21,Oie,6,2.04,49.68
1992-6-21-Oa,1992,21,Oa,6,1.98,44.19
1992-6-24-Oie,1992,24,Oie,6,2.24,47.90
1992-6-24-Oa,1992,24,Oa,6,1.65,39.78
1992-6-28-Oie,1992,28,Oie,6,2.59,46.48
1992-6-28-Oa,1992,28,Oa,6,1.50,27.20
1992-6-29-Oie,1992,29,Oie,6,2.31,45.83
1992-6-29-Oa,1992,29,Oa,6,1.03,18.56
1992-6-32-Oie,1992,32,Oie,6,2.08,48.19
1992-6-32-Oa,1992,32,Oa,6,1.14,31.19
1992-6-33-Oie,1992,33,Oie,6,2.15,49.06
1992-6-33-Oa,1992,33,Oa,6,1.06,28.13
1992-6-35-Oie,1992,35,Oie,6,2.26,46.27
1992-6-35-Oa,1992,35,Oa,6,1.89,35.18
1992-6-40-Oie,1992,40,Oie,6,2.17,41.77
1992-6-40-Oa,1992,40,Oa,6,1.47,25.30
1992-6-44-Oie,1992,44,Oie,6,1.84,35.76
1992-6-44-Oa,1992,44,Oa,6,-88.88,-88.88
1992-6-50-Oie,1992,50,Oie,6,2.20,46.55
1992-6-50-Oa,1992,50,Oa,6,1.40,40.26
1992-6-53-Oie,1992,53,Oie,6,2.51,45.33
1992-6-53-Oa,1992,53,Oa,6,1.71,34.91
1992-6-56-Oie,1992,56,Oie,6,1.54,31.97
1992-6-56-Oa,1992,56,Oa,6,-88.88,-88.88
1992-6-58-Oie,1992,58,Oie,6,1.80,35.00
1992-6-58-Oa,1992,58,Oa,6,0.55,11.83
1992-6-60-Oie,1992,60,Oie,6,2.15,40.09
1992-6-60-Oa,1992,60,Oa,6,0.94,23.84
1992-6-67-Oie,1992,67,Oie,6,2.08,45.22
1992-6-67-Oa,1992,67,Oa,6,1.12,22.48
1992-6-68-Oie,1992,68,Oie,6,1.86,40.31
1992-6-68-Oa,1992,68,Oa,6,0.87,17.92
1992-6-70-Oie,1992,70,Oie,6,2.02,40.78
1992-6-70-Oa,1992,70,Oa,6,0.56,11.22
1992-6-72-Oie,1992,72,Oie,6,2.03,46.48
1992-6-72-Oa,1992,72,Oa,6,1.10,19.37
1992-6-73-Oie,1992,73,Oie,6,1.84,33.93
1992-6-73-Oa,1992,73,Oa,6,1.41,24.49
1992-6-76-Oie,1992,76,Oie,6,1.84,42.10
1992-6-76-Oa,1992,76,Oa,6,1.31,26.26
1992-6-79-Oie,1992,79,Oie,6,1.64,38.98
1992-6-79-Oa,1992,79,Oa,6,0.81,19.25
1992-6-82-Oie,1992,82,Oie,6,1.70,45.88
1992-6-82-Oa,1992,82,Oa,6,1.47,32.65
1992-6-84-Oie,1992,84,Oie,6,1.14,29.90
1992-6-84-Oa,1992,84,Oa,6,0.60,14.64
1992-6-89-Oie,1992,89,Oie,6,2.31,43.97
1992-6-89-Oa,1992,89,Oa,6,1.15,20.29
1992-6-93-Oie,1992,93,Oie,6,2.09,47.62
1992-6-93-Oa,1992,93,Oa,6,1.60,32.07
1992-6-95-Oie,1992,95,Oie,6,1.70,37.90
1992-6-95-Oa,1992,95,Oa,6,1.20,21.70
1992-6-97-Oie,1992,97,Oie,6,1.90,41.72
1992-6-97-Oa,1992,97,Oa,6,0.96,19.67
1992-6-99-Oie,1992,99,Oie,6,2.19,38.20
1992-6-99-Oa,1992,99,Oa,6,0.95,15.87
1992-6-103-Oie,1992,103,Oie,6,2.05,46.46
1992-6-103-Oa,1992,103,Oa,6,1.55,34.07
1992-6-106-Oie,1992,106,Oie,6,1.83,37.81
1992-6-106-Oa,1992,106,Oa,6,1.06,20.71
1992-6-107-Oie,1992,107,Oie,6,1.37,26.08
1992-6-107-Oa,1992,107,Oa,6,1.44,26.91
1992-6-110-Oie,1992,110,Oie,6,1.29,30.07
1992-6-110-Oa,1992,110,Oa,6,0.84,16.58
1992-6-114-Oie,1992,114,Oie,6,1.47,29.86
1992-6-114-Oa,1992,114,Oa,6,1.08,21.18
1992-6-116-Oie,1992,116,Oie,6,1.97,46.15
1992-6-116-Oa,1992,116,Oa,6,1.31,29.02
1992-6-117-Oie,1992,117,Oie,6,2.03,40.50
1992-6-117-Oa,1992,117,Oa,6,1.58,28.96
1992-6-121-Oie,1992,121,Oie,6,1.91,38.80
1992-6-121-Oa,1992,121,Oa,6,0.88,18.50
1992-6-123-Oie,1992,123,Oie,6,2.20,42.77
1992-6-123-Oa,1992,123,Oa,6,1.11,21.81
1992-6-125-Oie,1992,125,Oie,6,2.27,43.05
1992-6-125-Oa,1992,125,Oa,6,1.68,29.39
1992-6-126-Oie,1992,126,Oie,6,2.19,41.18
1992-6-126-Oa,1992,126,Oa,6,1.13,17.93
1992-6-133-Oie,1992,133,Oie,6,1.84,38.06
1992-6-133-Oa,1992,133,Oa,6,0.55,12.00
1992-6-136-Oie,1992,136,Oie,6,1.86,38.83
1992-6-136-Oa,1992,136,Oa,6,1.61,30.30
1992-6-139-Oie,1992,139,Oie,6,2.03,46.58
1992-6-139-Oa,1992,139,Oa,6,0.98,21.22
1992-6-141-Oie,1992,141,Oie,6,2.01,46.28
1992-6-141-Oa,1992,141,Oa,6,1.55,33.97
1992-6-143-Oie,1992,143,Oie,6,1.58,38.39
1992-6-143-Oa,1992,143,Oa,6,1.22,28.85
1992-6-145-Oie,1992,145,Oie,6,1.76,36.08
1992-6-145-Oa,1992,145,Oa,6,0.72,15.72
1992-6-151-Oie,1992,151,Oie,6,1.71,42.51
1992-6-151-Oa,1992,151,Oa,6,1.38,31.11
1992-6-153-Oie,1992,153,Oie,6,1.94,39.29
1992-6-153-Oa,1992,153,Oa,6,1.02,19.34
1992-6-155-Oie,1992,155,Oie,6,2.00,43.41
1992-6-155-Oa,1992,155,Oa,6,1.22,20.71
1992-6-157-Oie,1992,157,Oie,6,1.71,36.61
1992-6-157-Oa,1992,157,Oa,6,1.15,20.61
1992-6-159-Oie,1992,159,Oie,6,1.98,41.72
1992-6-159-Oa,1992,159,Oa,6,1.16,24.18
1992-6-161-Oie,1992,161,Oie,6,2.03,43.92
1992-6-161-Oa,1992,161,Oa,6,1.19,27.62
1992-6-163-Oie,1992,163,Oie,6,1.08,18.84
1992-6-163-Oa,1992,163,Oa,6,0.49,9.34
1992-6-165-Oie,1992,165,Oie,6,1.82,39.46
1992-6-165-Oa,1992,165,Oa,6,1.17,23.21
1992-6-167-Oie,1992,167,Oie,6,1.92,37.07
1992-6-167-Oa,1992,167,Oa,6,1.10,19.59
1992-6-169-Oie,1992,169,Oie,6,1.89,32.39
1992-6-169-Oa,1992,169,Oa,6,1.35,24.06
1992-6-173-Oie,1992,173,Oie,6,1.96,41.05
