SurveyYear,Plot,Samp_Date,Plot_down,Plot_Over
1987,153,1987-07-16,22,6
1987,157,1987-07-15,99,99
1987,164,1987-07-15,99,99
1987,166,1987-07-15,99,99
1987,168,1987-07-16,99,99
1987,169,1987-07-16,17,22
1987,170,1987-07-15,99,99
1987,172,1987-07-15,24,9
1987,173,1987-07-15,99,99
1987,175,1987-07-15,99,99
1987,177,1987-07-15,5,20
1987,180,1987-07-15,23,19
1987,183,1987-07-15,6,16
1987,187,1987-07-15,16,21
1987,188,1987-07-14,99,99
1987,190,1987-07-16,21,13
1987,191,1987-07-16,22,6
1987,193,1987-07-14,99,99
1987,194,1987-07-14,99,99
1987,201,1987-07-14,99,99
1987,204,1987-07-14,99,99
1987,205,1987-07-14,17,7
1987,206,1987-07-14,1,9
1992,2,1992-07-12,22,5
1992,4,1992-07-12,21,2
1992,6,1992-07-12,99,99
1992,8,1992-07-12,99,99
1992,11,1992-07-12,99,99
1992,12,1992-07-12,99,99
1992,17,1992-07-12,16,3
1992,20,1992-07-12,99,99
1992,21,1992-07-12,10,7
1992,24,1992-07-12,99,99
1992,28,1992-07-12,3,3
1992,29,1992-07-12,99,99
1992,32,1992-07-12,99,99
1992,33,1992-07-12,99,99
1992,35,1992-07-12,4,15
1992,40,1992-07-12,99,99
1992,44,1992-07-12,22,4
1992,50,1992-07-12,22,7
1992,53,NA,99,99
1992,56,1992-07-12,99,99
1992,58,1992-07-11,99,99
1992,60,1992-07-11,21,22
1992,67,1992-07-11,9,2
1992,68,1992-07-11,7,6
1992,70,1992-07-11,8,5
1992,72,1992-07-11,12,11
1992,73,1992-07-11,15,13
1992,76,1992-07-11,7,23
1992,79,1992-07-11,18,17
1992,82,1992-07-11,2,23
1992,84,1992-07-11,99,99
1992,89,1992-07-11,99,99
1992,93,1992-07-11,2,23
1992,95,1992-07-11,7,11
1992,97,1992-07-11,4,17
1992,99,1992-07-11,12,9
1992,103,1992-07-11,24,3
1992,106,1992-07-11,22,13
1992,107,1992-07-11,9,8
1992,110,1992-07-11,7,21
1992,114,1992-07-13,7,4
1992,116,1992-07-11,15,2
1992,117,1992-07-11,99,99
1992,121,1992-07-10,9,4
1992,123,1992-07-13,1,8
1992,125,1992-07-13,5,6
1992,126,1992-07-10,14,17
1992,133,1992-07-10,11,24
1992,136,1992-07-13,5,9
1992,139,1992-07-10,15,10
1992,141,1992-07-15,17,4
1992,143,1992-07-13,4,3
1992,145,1992-07-10,23,3
1992,148,1992-07-10,1,4
1992,151,1992-07-14,13,12
1992,153,1992-07-10,6,3
1992,155,1992-07-10,23,23
1992,157,1992-07-10,11,11
1992,159,1992-07-10,6,19
1992,161,1992-07-10,1,20
1992,163,1992-07-10,8,17
1992,165,1992-07-10,16,18
1992,167,1992-07-10,8,6
1992,169,1992-07-10,20,23
1992,173,1992-07-10,15,0
1992,175,1992-07-10,13,15
1992,177,1992-07-10,13,6
1992,179,1992-07-10,25,8
1992,180,1992-07-10,99,99
1992,183,1992-07-10,15,8
1992,187,1992-07-10,99,99
1992,189,1992-07-10,19,15
1992,191,1992-07-10,12,7
1992,193,1992-07-10,25,4
1992,197,1992-07-10,4,7
1992,199,1992-07-13,99,99
1992,201,1992-07-13,8,21
1992,204,1992-07-13,13,7
1992,207,1992-07-13,5,13
1992,208,1992-07-13,3,10
1997,1,1997-07-30,99,99
1997,3,1997-07-30,99,99
1997,5,1997-07-30,99,99
1997,7,1997-07-30,99,99
1997,9,1997-07-30,99,99
1997,12,1997-07-30,99,99
1997,15,1997-07-30,99,99
1997,16,1997-07-06,99,99
1997,20,1997-07-31,99,99
1997,23,1997-07-30,99,99
1997,26,1997-07-06,99,99
1997,30,1997-07-30,99,99
1997,31,1997-07-30,99,99
1997,35,1997-07-06,99,99
1997,37,1997-07-31,99,99
1997,39,1997-07-31,99,99
1997,42,1997-07-06,99,99
1997,46,1997-07-31,99,99
1997,50,1997-07-06,99,99
1997,52,1997-07-31,99,99
1997,55,1997-07-31,99,99
1997,56,1997-07-06,99,99
1997,58,1997-07-31,99,99
1997,60,1997-07-31,99,99
1997,64,1997-07-06,99,99
1997,66,1997-07-31,99,99
1997,67,1997-07-31,99,99
1997,70,1997-07-06,99,99
1997,72,1997-07-06,99,99
1997,74,1997-07-31,99,99
1997,75,1997-07-31,99,99
1997,77,1997-07-14,99,99
1997,80,1997-07-06,99,99
1997,83,1997-07-31,99,99
1997,87,1997-07-06,99,99
1997,89,1997-07-31,99,99
1997,92,1997-07-14,99,99
1997,96,1997-07-31,99,99
