ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,DryWeight_g,Dried,DriedMethod,RootPicked,RootSize_mm,Archived_g,Weight_g_14C,Label_14C,Measured_%_C,Measured_%_N,F14C,al_pyr_mg_g,fe_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,al_dith_mg_g,fe_dith_mg_g,Plot_1_Horizons,Plot_1_HorizonLength,Plot_2_Horizon,Plot_2_HorizonLength,Plot_3_Horizon,Plot_3_HorizonLength,Plot_4_Horizon,Plot_4_HorizonLength,Plot_5_Horizon,Plot_5_HorizonLength,Plot_6_Horizon,Plot_6_HorizonLength,Notes,Delta14C,mean_BD_g_cm3,sd_BD_g_cm3,median_BD_g_cm3,mad_BD_g_cm3
HBB_055,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Oa/A,35.44,Yes,DegreeC60_48h,Yes,all,24.81,0.4555,#112,9.99,0.56,1.0648,0.891,3.476,1.287,6.251,0.98,4.54,Oa,3,A,2,A,4,A,1,NA,NA,NA,NA,NA,55.438349826528956,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_057,HubbardBearBrook,W6,Summer,Low,2023,7,LT172,Oa/A,16.34,Yes,DegreeC60_48h,Yes,all,7.63,0.4543,#057,22.45,1.3,1.089,4.876,4.921,5.325,6.035,4.66,5.64,Oa,6,NA,0,Oa,3,Oa,2,NA,NA,NA,NA,NA,79.42558504985908,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_058,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Mineral_0_10,90.1,Yes,DegreeC60_48h,Yes,<2,64.69,0.5127,#058,4.89,0.24,0.962,3.935,6.017,4.949,9.109,3.96,7.25,NA,0,B,1,B,9,E,8,NA,NA,NA,NA,NA,-46.457839469270404,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_059,HubbardBearBrook,W6,Summer,Low,2023,7,LT174,Oi/Oe,7.09,Yes,DegreeC60_48h,Yes,all,0,0.4562,#059,40.53,1.81,1.0739,NA,NA,NA,NA,NA,NA,Oi/Oe,6,Oi/Oe,2,Oi/Oe,0.5,Oi/Oe,2.5,NA,NA,NA,NA,"still quite a few roots left in sample; grinded sample before containers were cleaned with count-free and sand; container opend during grinding, only transferred material that was inside the grinding container; used 'non-clean room' grinding balls",64.45834323695499,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_060,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Oa/A,54.3,Yes,DegreeC60_48h,Yes,all,44.75,0.4921,#060,13.59,0.77,1.0728,1.947,4.774,2.389,5.94,1.99,5.05,A,1,A,5,A,3,A,6,A,4,NA,NA,NA,63.36801436316697,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
HBB_061,HubbardBearBrook,W6,Summer,Low,2023,7,LT163,Oi/Oe,8.74,Yes,DegreeC60_48h,Yes,all,3.13,0.4661,#061,25.65,1.2,1.0522,NA,NA,NA,NA,NA,NA,Oi/Oe,2,Oi/Oe,1,Oi/Oe,2,Oi/Oe,3,NA,NA,NA,NA,grinded sample before containers were cleaned with count-free and sand,42.94912818132413,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_062,HubbardBearBrook,W6,Summer,Low,2023,7,LT168,Oi/Oe,17.06,Yes,DegreeC60_48h,Yes,all,10.91,0.4696,#062,19.53,0.96,1.0387,NA,NA,NA,NA,NA,NA,Oi/Oe,3,Oi/Oe,3.5,Oi/Oe,0.5,Oi/Oe,5,Oi/Oe,1.5,NA,NA,NA,29.56781927574714,0.0984582002484677,0.0532811495479952,0.08729411764705883,0.03012466623093683
HBB_063,HubbardBearBrook,W6,Summer,Low,2023,7,LT163,Mineral_0_10,103.07,Yes,DegreeC60_48h,Yes,<2,83.19,0.5276,#063,5.81,0.26,0.9925,4.087,8.458,4.95,11.55,4.04,10.33,E,5,B,10,E,2.5,NA,0,NA,NA,NA,NA,NA,-16.225993423337638,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_064,HubbardBearBrook,W6,Summer,Low,2023,7,LT162,Mineral_0_10,59.47,Yes,DegreeC60_48h,Yes,<2,39.55,0.482,#064,6.76,0.29,0.9341,15.629,8.806,17.825,12.19,15.11,11.01,NA,0,B,2,NA,0,B,10,E,0.5,NA,NA,very light color: E-horizon?,-74.11254454079564,0.6348665628178243,0.2228321503308246,0.6051728130863039,0.16851290483339315
HBB_065,HubbardBearBrook,W6,Summer,Low,2023,7,LT163,Oa/A,10.97,Yes,DegreeC60_48h,Yes,all,2.54,0.476,#065,26.54,1.24,1.1181,1.063,1.282,1.296,3.179,1.14,2.89,Oa,2,NA,0,Oa,3,Oa,2.5,NA,NA,NA,NA,NA,108.26973980188038,0.2496906574420651,0.17418773194120374,0.21713747645951037,0.1070650687527162
