TRTMT,COMP,SITE,ELEV,YEAR,DATE,CELL,TAG,DRY_MASS,M_COUNT,M_MASS,f_COUNT,t_COUNT,Q_COUNT,B_COUNT,B_MASS,W_COUNT,Y_COUNT,Y_MASS,P_COUNT,a_COUNT,COMMENT
noCA,HW,BB,Mid,1993,1994-06,-9999,151,2.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1993,1994-06,-9999,152,2.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1993,1994-06,-9999,153,3.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1993,1994-06,-9999,154,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Mid,1993,1994-06,-9999,159,2.24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"added comment 2013.05: from transect 4, which was eliminated 1994-Aug, but this one was possibly missed"
noCA,HW,BB,Upper,1993,1993-07,-9999,121,0.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,122,1.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,123,1.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,124,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,127,5.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,128,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,130,2.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,131,1.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,132,1.72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,133,0.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-07,-9999,134,1.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
noCA,HW,BB,Upper,1993,1993-11,-9999,121,25.38,34,-9999,0,0,0,43,-9999,17,102,-9999,0,0,
noCA,HW,BB,Upper,1993,1993-11,-9999,122,20.13,36,-9999,0,0,0,13,-9999,0,193,-9999,0,0,F;1 V.;1 map. sam.
noCA,HW,BB,Upper,1993,1993-11,-9999,123,27.17,88,-9999,0,1,0,94,-9999,0,11,-9999,0,0,F;7 beechnuts
noCA,HW,BB,Upper,1993,1993-11,-9999,124,30.23,115,-9999,0,0,0,66,-9999,0,14,-9999,0,0,F
noCA,HW,BB,Upper,1993,1993-11,-9999,127,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,disturbed
noCA,HW,BB,Upper,1993,1993-11,-9999,128,20.18,50,-9999,0,8,0,22,-9999,0,114,-9999,0,0,2V.
noCA,HW,BB,Upper,1993,1993-11,-9999,129,26.57,75,-9999,0,1,0,20,-9999,0,109,-9999,0,0,2V.
noCA,HW,BB,Upper,1993,1993-11,-9999,130,27.38,78,-9999,0,0,0,40,-9999,0,129,-9999,0,0,1 snail
noCA,HW,BB,Upper,1993,1993-11,-9999,131,28.31,66,-9999,0,3,0,64,-9999,0,117,-9999,0,0,
noCA,HW,BB,Upper,1993,1993-11,-9999,132,13.96,12,-9999,0,2,0,15,-9999,0,84,-9999,0,0,
